loc,lat,longit,grouper,scenario,ensemble,year,spray1,spray2,spray3,dd1,dd2,dd3,dd3off,pon1,pon2,pon3,poff1,poff3,duration,maxdd,totdd,residue1,residue2,residue3,mdeffect,ceffectnmd,ceffectmd,time1,time2,time3,time4
East Oroville,48.980461,-119.41203,83,Historical,CanESM2,1980,22may1980,09jun1980,23jun1980,377,525,718,1005,.0148465629584921,.1670000887723324,.617642004826596,.1706808112511181,.9652821819898413,.9541163415101349,2318,2418,0,14,14,48.078758,15.950093,7.4303422,1,,,
East Oroville,48.980461,-119.41203,84,Historical,CanESM2,1981,04jun1981,14jun1981,28jun1981,374,530,806,1138,.0138389932426956,.1762801743775738,.7884095494255361,.1651755351451852,.9923000660382555,.9673564335631712,2411,2555,0,14,14,40.419769,15.926985,6.4571753,1,,,
East Oroville,48.980461,-119.41203,85,Historical,CanESM2,1982,25may1982,14jun1982,28jun1982,375,529,656,821,.0141687136091938,.1744033520426749,.4684463305521264,.1670000887723324,.8113175798291371,.7897456029496008,2095,2167,0,14,14,63.459621,28.223038,14.119119,1,,,
East Oroville,48.980461,-119.41203,86,Historical,CanESM2,1983,26may1983,06jun1983,20jun1983,373,525,820,997,.0135153116235142,.1670000887723324,.8098479970567156,.1633615847384016,.9622519585256273,.9450981428681822,2469,2517,0,14,14,40.475006,16.039577,6.834156,1,,,
East Oroville,48.980461,-119.41203,87,Historical,CanESM2,1984,25may1984,06jun1984,20jun1984,381,531,781,1007,.0162779483662256,.178167293167297,.7460936353225573,.178167293167297,.9660053750810744,.9497274267148489,2625,2670,0,14,14,37.744019,15.346618,5.4356971,1,,,
East Oroville,48.980461,-119.41203,88,Historical,CanESM2,1985,22may1985,01jun1985,15jun1985,375,530,797,1126,.0141687136091938,.1762801743775738,.7737714781831253,.1670000887723324,.991105406238395,.9676566070239598,2733,2775,0,14,14,32.370869,14.540331,5.252017,1,,,
East Oroville,48.980461,-119.41203,89,Historical,CanESM2,1986,30may1986,10jun1986,24jun1986,382,522,671,888,.0166519912082227,.1615582847413053,.5057868405605045,.1800646534163167,.8919280341773494,.8937824116441382,2347,2459,0,14,14,53.45105,20.560867,9.7258911,1,,,
East Oroville,48.980461,-119.41203,90,Historical,CanESM2,1987,05jun1987,15jun1987,29jun1987,369,519,715,1007,.0122795160933843,.1562127419008381,.6108337279085025,.1562127419008381,.9660053750810744,.9537258589876901,2375,2436,0,14,14,45.34169,15.696463,6.9459558,1,,,
East Oroville,48.980461,-119.41203,91,Historical,CanESM2,1988,03jun1988,12jun1988,26jun1988,381,521,685,874,.0162779483662256,.1597656811991448,.5401013799569945,.178167293167297,.877857091303498,.8799807549054246,2156,2236,0,14,14,55.574898,22.111818,10.484831,1,,,
East Oroville,48.980461,-119.41203,92,Historical,CanESM2,1989,06jun1989,18jun1989,02jul1989,377,518,726,982,.0148465629584921,.1544524924564875,.6355251003218039,.1706808112511181,.9559398462575375,.957321602093676,2326,2499,0,14,14,49.599464,16.929869,8.4299221,1,,,
